name,year,group,status,dob,birthplace,gender,alma_mater,spaceflights,spaceflight_hours,spacewalks,spacewalk_hours,missions
Yvonne D. Cagle,1996,16,Management,4/24/1959,"West Point, NY",Female,San Francisco State University,0,0,0,0,
Fernando Caldeiro,1996,16,Deceased,6/12/1958,"Buenos Aires, Argentina",Male,University of Arizona,0,0,0,0,
Tracy E. Caldwell (Dyson),1998,17,Active,8/14/1969,"Arcadia, CA",Female,California State University-Fullerton,2,4531,3,23,"STS-118 (Endeavor), ISS-23/24 (Soyuz)"
Charles J. Camarda,1996,16,Management,5/8/1952,"Queens, NY",Male,Polytechnic Institute of Brooklyn,1,333,0,0,STS-114 (Discovery)
Kenneth D. Cameron,1984,10,Retired,11/29/1949,"Cleveland, OH",Male,MIT,3,562,0,0,"STS-37 (Atlantis), STS-56 (Discovery), STS-74 (Atlantis)"
Duane G. Carey,1996,16,Retired,4/30/1957,"St. Paul, MN",Male,University of Minnesota-Minneapolis,1,262,0,0,STS-109 (Columbia)
M. Scott Carpenter,1959,1,Retired,5/1/1925,"Boulder, CO",Male,University of Colorado,1,4,0,0,Mercury 7
Gerald P. Carr,1966,5,Retired,8/22/1932,"Denver, CO",Male,University of Southern California,1,2017,3,16,Skylab 4
Manley Lanier Carter Jr. ,1984,10,Deceased,8/15/1947,"Macon, GA",Male,Emory University,1,120,0,0,STS-33 (Discovery)
John H. Casper,1984,10,Management,7/9/1943,"Greenville, SC",Male,US Air Force Academy,4,825,0,0,"STS-36 (Atlantis), STS-54 (Endeavor), STS-62 (Columbia), STS-77 (Endeavor)"
Christopher J. Cassidy,2004,19,Active,1/4/1970,"Salem, MA",Male,US Naval Academy,1,4376,6,31,STS-127 (Endeavor)
Robert Cenker,1986,11,Retired,11/5/1948,"Uniontown, PA",Male,Pennsylvania State University,1,146,0,0,STS 61-C (Columbia)
Eugene A. Cernan,1963,3,Retired,3/14/1934,"Chicago, IL",Male,Purdue University,3,566,4,24,"Gemini 9, Apollo 10, Apollo 17"
Roger B. Chaffee,1963,3,Deceased,2/15/1935,"Grand Rapids, MI",Male,Purdue University,1,0,0,0,Apollo 1
Gregory E. Chamitoff,1998,17,Active,8/6/1962,"Montreal, Canada",Male,California Polytechnic State University,2,4770,2,13,"STS-124/126 (Discovery/Endeavor), STS-134 (Endeavor)"
Franklin R. Chang-Diaz,1980,9,Retired,4/5/1950,"San Jose, Costa Rica",Male,University of Connecticut,7,1602,3,19,"STS 61-C (Columbia), STS-34 (Atlantis), STS-46 (Atlantis), STS-60 (Discovery), STS-75 (Columbia), STS-91 (Discovery), STS-111 (Endeavor)"
Philip K. Chapman,1967,6,Retired,3/5/1935,"Melbourne, Australia",Male,University of Sydney,0,0,0,0,
Kalpana Chawla,1995,15,Deceased,6/1/1961,"Karnal, India",Female,Punjab Engineering College,2,734,0,0,"STS-87 (Columbia), STS-107 (Columbia)"
Leroy Chiao,1990,13,Retired,8/28/1960,"Milwaukee, WI",Male,University of California-Berkeley,4,5503,6,36,"STS-65 (Columbia), STS-72 (Endeavor), STS-92 (Discovery), ISS-10 (Soyuz)"
Kevin P. Chilton,1987,12,Retired,3/11/1954,"Los Angeles, CA",Male,US Air Force Academy,3,700,0,0,"STS-49 (Endeavor), STS-59 (Endeavor), STS-76 (Atlantis)"
Laurel B. Clark,1996,16,Deceased,3/10/1961,"Ames, IA",Female,University of Wisconsin-Madison,1,382,0,0,STS-107 (Columbia)
Mary L. Cleave,1980,9,Retired,2/5/1947,"Southampton, NY",Female,Colorado State University,2,262,0,0,"STS 61-B (Atlantis), STS-30 (Atlantis)"
Michael R. Clifford,1990,13,Retired,10/13/1952,"San Bernardino, CA",Male,US Military Academy,3,666,1,6,"STS-53 (Discovery), STS-59 (Endeavor), STS-76 (Atlantis)"
Michael L. Coats,1978,8,Retired,1/16/1946,"Sacramento, CA",Male,US Naval Academy,3,463,0,0,"STS 41-D (Discovery), STS-29 (Discovery), STS-39 (Discovery)"
Kenneth D. Cockrell,1990,13,Management,4/9/1950,"Austin, TX",Male,University of Texas,5,1548,0,0,"STS-56 (Discovery), STS-69 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis), STS-111 (Endeavor)"
Catherine G. Coleman,1992,14,Active,12/14/1960,"Charleston, SC",Female,MIT,3,4324,0,0,"STS-73 (Columbia), STS-93 (Columbia), ISS-26/27 (Soyuz)"
Eileen M. Collins,1990,13,Retired,11/19/1959,"Elmira, NY",Female,Syracuse University,4,890,0,0,"STS-63 (Discovery), STS-84 (Atlantis), STS-114 (Columbia), STS-93 (Discovery)"
Michael Collins,1963,3,Retired,10/31/1930,"Rome, Italy",Male,US Military Academy,2,266,1,1,"Gemini 10, Apollo 11"
Charles Conrad Jr. ,1962,2,Deceased,5/2/1930,"Philadelphia, PA",Male,Princeton University,4,1179,4,12,"Gemini 5, Gemini 11, Apollo 12, Skylab 2"
L. Gordon Cooper Jr. ,1959,1,Deceased,3/6/1927,"Shawnee, OK",Male,Air Force Institute of Technology,2,225,0,0,"Mercury 9, Gemini 5"
Richard O. Covey,1978,8,Retired,8/1/1946,"Fayetteville, AR",Male,US Air Force Academy,4,645,0,0,"STS 51-l (Discovery), STS-26 (Discovery), STS-38 (Atlantis), STS-61 (Endeavor)"
Timothy J. Creamer,1998,17,Management,11/15/1959,"Ft. Huachuca, AZ",Male,Loyola College,1,3917,0,0,ISS-22/23 (Soyuz)
John O. Creighton,1978,8,Retired,4/28/1943,"Orange, TX",Male,US Naval Academy,3,404,0,0,"STS 51-G (Discovery), STS-36 (Atlantis), STS-48 (Discovery)"
Robert L. Crippen,1969,7,Retired,9/11/1937,"Beaumont, TX",Male,University of Texas,4,565,0,0,"STS-1 (Columbia), STS-7 (Challenger), STS 41-C (Challenger), STS 41-G (Challenger)"
Roger K. Crouch,1997,17,Retired,9/12/1940,"Jamestown, TN",Male,Tennessee Polytechnic Institute,1,471,0,0,"STS-83 (Columbia), STS-94 (Columbia)"
Frank L. Culbertson Jr. ,1984,10,Retired,5/15/1949,"Charleston, SC",Male,US Naval Academy,3,3446,1,5,"STS-38 (Atlantis), STS-51 (Discovery), STS-105/108 (Discovery/Endeavor)"
Walter Cunningham,1963,3,Retired,3/16/1932,"Creston, IA",Male,University of California-Los Angeles,1,260,0,0,Apollo 7
Robert L. Curbeam Jr. ,1995,15,Retired,3/5/1962,"Baltimore, MD",Male,US Naval Academy,3,902,7,45,"STS-85 (Discovery), STS-98 (Atlantis), STS-116 (Discovery)"
Nancy J. Currie,1990,13,Management,12/29/1958,"Wilmington, DE",Female,Ohio State University,4,999,0,0,"STS-57 (Endeavor), STS-70 (Discovery), STS-88 (Endeavor), STS-109 (Columbia)"
N. Jan Davis,1987,12,Retired,11/1/1953,"Cocoa Beach, FL",Female,Georgia Institute of Technology,3,673,0,0,"STS-47 (Endeavor), STS-60 (Discovery), STS-85 (Discovery)"
Lawrence J. Delucas,1992,14,Retired,7/11/1950,"Syracuse, NY",Male,University of Alabama at Birmingham,1,331,0,0,STS-50 (Columbia)
Alvin B. Drew Jr. ,2000,18,Active,11/5/1962,"Washington, DC",Male,US Air Force Academy,2,613,2,13,"STS-118 (Endeavor), STS-133 (Discovery)"
Brian Duffy,1985,11,Retired,6/20/1953,"Boston, MA",Male,US Air Force Academy,4,977,0,0,"STS-45 (Atlantis), STS-57 (Endeavor), STS-72 (Endeavor), STS-92 (Discovery)"
Charles M. Duke Jr. ,1966,5,Retired,10/3/1935,"Charlotte, NC",Male,US Naval Academy,1,265,3,20,Apollo 16
Bonnie J. Dunbar,1980,9,Retired,3/3/1949,"Sunnyside, WA",Female,University of Washington,5,1207,0,0,"STS 61-A (Challenger), STS-32 (Columbia), STS-50 (Columbia), STS-71 (Atlantis), STS-89 (Endeavor)"
Samuel T. Durrance,1990,13,Retired,9/17/1943,"Tallahassee, FL",Male,California State University,2,614,0,0,"STS-35 (Columbia), STS-67 (Endeavor)"
James P. Dutton Jr. ,2004,19,Management,11/20/1968,"Eugene, OR",Male,US Air Force Academy,1,362,0,0,STS-131 (Discovery)
Joe F. Edwards Jr. ,1995,15,Retired,2/3/1958,"Richmond, VA",Male,US Naval Academy,1,211,0,0,STS-89 (Endeavor)
Donn F. Eisele,1963,3,Deceased,5/23/1930,"Columbus, OH",Male,US Naval Academy,1,260,0,0,Apollo 7
Anthony W. England,1967,6,Retired,5/15/1942,"Indianapolis, IN",Male,MIT,1,190,0,0,STS 51-F (Challenger)
Joe H. Engle,1966,5,Retired,8/26/1932,"Dickinson, KS",Male,University of Kansas,2,224,0,0,"STS-2 (Columbia), STS 51-I (Discovery)"
Jeanette J. Epps,2009,20,Active,11/3/1970,"Syracuse, NY",Female,LeMoyne College,0,0,0,0,
Ronald E. Evans Jr. ,1966,5,Deceased,11/10/1933,"St. Francis, KS",Male,University of Kansas,1,301,1,1,Apollo 17
John M. Fabian,1978,8,Retired,1/28/1939,"Goosecreek, TX",Male,Washington State University,2,316,0,0,"STS-7 (Challenger), STS 51-G (Discovery)"
Christopher J. Ferguson,1998,17,Retired,9/1/1961,"Philadelphia, PA",Male,Drexel University,3,970,0,0,"STS-115 (Atlantis), STS-126 (Endeavor), STS-135 (Atlantis)"
Martin J. Fettman,1993,14,Retired,12/31/1956,"Brooklyn, NY",Male,Cornell University,1,336,0,0,STS-58 (Columbia)
Andrew J. Feustel,2000,18,Active,8/25/1965,"Lancaster, PA",Male,Purdue University,2,687,6,42,"STS-125 (Atlantis), STS-134 (Endeavor)"
E. Michael Fincke,1996,16,Active,3/14/1967,"Pittsburgh, PA",Male,MIT,3,9159,9,48,"ISS-09 (Soyuz), ISS-18 (Soyuz), STS-134 (Endeavor)"
Jack D. Fischer,2009,20,Active,1/23/1974,"Louisville, CO",Male,US Air Force Academy,0,0,0,0,
Anna L. Fisher,1978,8,Management,8/24/1949,"New York, NY",Female,University of California-Los Angeles,1,191,0,0,STS 51-A (Discovery)
William F. Fisher,1980,9,Retired,4/1/1946,"Dallas, TX",Male,Stanford University,1,170,2,12,STS 51-I (Discovery)
C. Michael Foale,1987,12,Active,1/6/1957,"Louth, England",Male,Cambridge University,6,8970,4,22,"STS-45 (Atlantis), STS-56 (Discovery), STS-63 (Discovery), STS-84/86 (Atlantis), STS-103 (Discovery), ISS-08 (Soyuz)"
Kevin A. Ford,2000,18,Active,7/7/1960,"Portland, IN",Male,University of Notre Dame,2,3781,0,0,"STS-128 (Discovery), ISS-33/34 (Soyuz)"
Michael J. Foreman,1998,17,Management,3/29/1957,"Columbus, OH",Male,US Naval Academy,2,637,5,32,"STS-123 (Endeavor), STS-129 (Atlantis)"
Patrick G. Forrester,1996,16,Management,3/31/1957,"El Paso, TX",Male,US Military Academy,3,950,4,25,"STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)"
Michael E. Fossum,1998,17,Active,12/19/1957,"Sioux Falls, SD",Male,Texas A&M University,3,4651,7,48,"STS-121 (Discovery), STS-124 (Discovery), ISS-28/29 (Soyuz)"
Theodore C. Freeman,1963,3,Deceased,2/18/1930,"Haversford, PA",Male,US Naval Academy,0,0,0,0,
Stephen N. Frick,1996,16,Management,9/30/1961,"Pittsburgh, PA",Male,US Naval Academy,2,566,0,0,"STS-110 (Atlantis), STS-122 (Atlantis)"
C. Gordon Fullerton,1969,7,Retired,10/11/1936,"Rochester, NY",Male,California Institute of Technology,2,382,0,0,"STS-3 (Columbia), STS 51-F (Challenger)"
F. Andrew Gaffney,1991,15,Retired,6/9/1946,"Carlsbad, NM",Male,University of California-Berkeley,1,218,0,0,STS-40 (Columbia)
Ronald J. Garan Jr. ,2000,18,Management,10/20/1961,"Yonkers, NY",Male,State University of New York,2,4271,4,27,"STS-124 (Discovery), ISS-27/28 (Soyuz)"
Dale A. Gardner,1978,8,Retired,11/8/1948,"Fairmont, MN",Male,University of Illinois,2,336,2,12,"STS-8 (Challenger), STS 51-A (Discovery)"
Guy S. Gardner,1980,9,Retired,1/6/1948,"Alta Vista, VA",Male,US Air Force Academy,2,320,0,0,"STS-27 (Atlantis), STS-35 (Columbia)"
Jake Garn,1985,11,Retired,10/12/1932,Richfield. UT,Male,University of Utah,1,167,0,0,STS 51-D (Discovery)
Owen K. Garriott,1965,4,Retired,11/22/1930,"Enid, OK",Male,University of Oklahoma,2,1674,3,14,"Skylab 3, STS-9 (Columbia)"
Charles D. Gemar,1985,11,Retired,8/4/1955,"Yanktown, SD",Male,US Military Academy,3,581,0,0,"STS-38 (Atlantis), STS-48 (Discovery), STS-62 (Columbia)"
Michael L. Gernhardt,1992,14,Management,5/4/1956,"Mansfield, OH",Male,Vanderbilt University,4,1039,4,23,"STS-69 (Endeavor), STS-83 (Columbia), STS-94 (Columbia), STS-104 (Atlantis)"
Edward G. Gibson,1965,4,Retired,11/8/1936,"Buffalo, NY",Male,University of Rochester,1,2017,3,15,Skylab 4
Robert L. Gibson,1978,8,Retired,10/30/1946,"Cooperstown, NY",Male,California Polytechnic Institute,5,868,0,0,"STS 41-B (Challenger), STS 61-C (Columbia), STS-27 (Atlantis), STS-47 (Endeavor), STS-71 (Atlantis)"
Edward G. Givens Jr. ,1966,5,Deceased,1/5/1930,"Quanah, TX",Male,US Naval Academy,0,0,0,0,
John H. Glenn Jr. ,1959,1,Retired,7/18/1921,"Cambridge, OH",Male,Muskingum College,2,218,0,0,"Mercury 6, STS-95 (Discovery)"
Linda M. Godwin,1985,11,Retired,7/2/1952,"Cape Girardeau, MO",Female,Southeast Missouri State,4,918,2,10,"STS-37 (Atlantis), STS-59 (Endeavor), STS-76 (Atlantis), STS-108 (Endeavor)"
Michael T. Good,2000,18,Management,10/13/1962,"Parma, OH",Male,University of Notre Dame,2,592,4,30,"STS-125 (Atlantis), STS-132 (Atlantis)"
Richard F. Gordon Jr. ,1963,3,Retired,10/5/1929,"Seattle, WA",Male,University of Washington,2,315,1,1,"Gemini 11, Apollo 12"
Dominic L. Gorie,1995,15,Retired,5/2/1957,"Lake Charles, LA",Male,US Naval Academy,4,1167,0,0,"STS-91 (Discovery), STS-99 (Endeavor), STS-123 (Endeavor), STS-108 (Endeavor)"
Ronald J. Grabe,1980,9,Retired,6/13/1945,"New York, NY",Male,US Air Force Academy,4,627,0,0,"STS 51-J (Atlantis), STS-30 (Atlantis), STS-42 (Discovery), STS-57 (Endeavor)"
Duane E. Graveline,1965,4,Retired,3/2/1931,"Newport, VT",Male,University of Vermont,0,0,0,0,
Frederick D. Gregory,1978,8,Retired,1/7/1941,"Washington, DC",Male,US Air Force Academy,3,455,0,0,"STS 51-B (Challenger), STS-33 (Discovery), STS-44 (Atlantis)"
William G. Gregory,1990,13,Retired,5/14/1957,"Lockport, NY",Male,US Air Force Academy,1,399,0,0,STS-67 (Endeavor)
S. David Griggs,1978,8,Deceased,9/7/1939,"Portland, OR",Male,US Naval Academy,1,167,1,3,STS 51-D (Discovery)
Virgil I. Grissom,1959,1,Deceased,4/3/1926,"Mitchell, IN",Male,Purdue University,2,5,0,0,"Mercury 4, Gemini 3, Apollo 1"
John M. Grunsfeld,1992,14,Management,10/10/1958,"Chicago, IL",Male,MIT,5,1407,8,58,"STS-67 (Endeavor), STS-81 (Atlantis), STS-103 (Discovery), STS-125 (Atlantis), STS-109 (Columbia)"
Sidney M. Gutierrez,1984,10,Retired,6/27/1951,"Albuquerque, NM",Male,US Air Force Academy,2,488,0,0,"STS-40 (Columbia), STS-59 (Endeavor)"
Fred W. Haise Jr. ,1966,5,Retired,11/14/1933,"Biloxi, MS",Male,University of Oklahoma,1,142,0,0,Apollo 13 
James D. Halsell Jr. ,1990,13,Retired,9/29/1956,"Monroe, LA",Male,US Air Force Academy,5,1258,0,0,"STS-65 (Columbia), STS-74 (Atlantis), STS-83 (Columbia), STS-94 (Columbia), STS-101 (Atlantis)"
Kenneth T. Ham,1998,17,Retired,12/12/1964,"Plainfield, NJ",Male,US Naval Academy,2,612,0,0,"STS-124 (Discovery), STS-132 (Atlantis)"
L. Blaine Hammond Jr. ,1984,10,Retired,1/16/1952,"Savannah, GA",Male,US Air Force Academy,2,462,0,0,"STS-39 (Discovery), STS-64 (Discovery)"
Gregory J. Harbaugh,1987,12,Retired,4/15/1956,"Cleveland, OH",Male,Purdue University,4,817,3,18,"STS-39 (Discovery), STS-54 (Endeavor), STS-71 (Atlantis), STS-82 (Discovery)"
Bernard A. Harris Jr. ,1990,13,Retired,6/26/1956,"Temple, TX",Male,University of Houston,2,438,1,5,"STS-55 (Columbia), STS-63 (Discovery)"
Terry J. Hart,1978,8,Retired,10/27/1946,"Pittsburgh, PA",Male,Lehigh University,1,167,0,0,STS 41-C (Challenger)
Henry W. Hartsfield Jr. ,1969,7,Retired,11/21/1933,"Birmingham, AL",Male,Auburn University,3,482,0,0,"STS-4 (Columbia), STS 41-D (Discovery), STS 61-A (Challenger)"
Frederick H. Hauck,1978,8,Retired,4/11/1941,"Long Beach, CA",Male,Tufts University,3,435,0,0,"STS-7 (Challenger), STS 51-A (Discovery), STS-26 (Discovery)"
Steven A. Hawley,1978,8,Retired,12/12/1951,"Ottawa, KS",Male,University of Kansas,5,770,0,0,"STS 41-D (Discovery), STS 61-C (Columbia), STS-31 (Discovery), STS-82 (Discovery), STS-93 (Columbia)"
Susan J. Helms,1990,13,Retired,2/26/1958,"Charlotte, NC",Female,US Air Force Academy,5,5063,1,9,"STS-54 (Endeavor), STS-64 (Discovery), STS-78 (Columbia), STS-101 (Atlantis), STS-102/105 (Discovery)"
Karl G. Henize,1967,6,Deceased,10/17/1926,"Cincinnati, OH",Male,University of Virginia,1,190,0,0,STS 51-F (Challenger)
Thomas J. Hennen,1991,13,Retired,8/17/1952,"Albany, GA",Male,,1,166,0,0,STS-44 (Atlantis)
Terence T. Henricks,1985,11,Retired,7/5/1952,"Bryan, OH",Male,US Air Force Academy,4,1026,0,0,"STS-44 (Atlantis), STS-55 (Columbia), STS-70 (Discovery), STS-78 (Columbia)"
Jose M. Hernandez,2004,19,Retired,8/7/1962,"French Camp, CA",Male,University of the Pacific,1,332,0,0,STS-128 (Discovery)
John B. Herrington,1996,16,Retired,9/14/1958,"Wetumka, OK",Male,University of Colorado,1,330,3,20,STS-113 (Endeavor)
Richard J. Hieb,1985,11,Retired,9/21/1955,"Jamestown, ND",Male,Northwest Nazarene College,3,766,3,18,"STS-39 (Discovery), STS-49 (Endeavor), STS-65 (Columbia)"
Joan E. Higginbotham,1996,16,Retired,8/3/1964,"Chicago, IL",Female,Southern Illinois University-Carbondale,1,308,0,0,STS-116 (Discovery)
David C. Hilmers,1980,9,Retired,1/28/1950,"Clinton, IA",Male,Cornell University,4,494,0,0,"ST 51-J (Atlantis), STS-26 (Discovery), STS-36 (Atlantis), STS-42 (Discovery)"
Kathryn P. Hire,1995,15,Management,8/26/1959,"Mobile, AL",Female,US Naval Academy,2,711,0,0,"STS-90 (Columbia), STS-130 (Endeavor)"
Charles O. Hobaugh,1996,16,Retired,11/5/1961,"Bar Harbor, ME",Male,US Naval Academy,3,873,0,0,"STS-104 (Atlantis), STS-118 (Endeavor), ST-129 (Atlantis)"
